회사명,주식,혼합주식,혼합채권,채권,투자계약,재간접,단기금융,파생형,부동산,실물,특별자산,혼합자산,기업성장,기관전용 사모펀드,투자일임기타,합계,위탁운용,전일대비,전년대비
비욘드자산운용,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,7,0,0,-1
비전자산운용,9,0,2,9,0,17,0,0,0,0,0,26,0,0,0,63,0,0,12
비케이피엘자산운용,0,0,1,0,0,9,0,0,0,0,5,6,0,0,0,21,0,0,1
비피자산운용,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,0,-4
빌리언폴드자산운용,0,1,0,0,0,0,0,0,3,0,0,13,0,0,0,17,0,0,3
사람사점영자산운용,5,1,8,0,0,0,0,1,0,0,0,5,0,0,0,20,0,0,7
사우스피크자산운용,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
산은인프라자산운용,0,0,1,0,0,0,0,0,4,0,138,9,0,0,0,152,0,0,6
삼성액티브자산운용,115,1,1,0,0,1,0,0,0,0,0,3,0,0,0,121,0,0,18
삼성에스알에이자산운용,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,124,0,0,12
삼성자산운용,444,49,83,369,0,375,17,133,4,0,148,32,0,0,0,1654,0,0,66
삼성헤지자산운용,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,7,0,0,0
삼천리자산운용,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,16,0,0,1
새봄자산운용,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,2
샘자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
서울에셋매니지먼트,0,1,3,0,0,0,0,0,0,0,0,18,0,0,0,22,0,0,2
서울투자자산운용,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6
서진자산운용,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,2
선스피어자산운용,0,0,3,0,0,0,0,0,0,0,1,6,0,0,0,10,0,0,4
센터피스자산운용,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,-1
센트로이드에셋매니지먼트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
셀레니언자산운용,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
셀티스자산운용,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,-1
솔리드런자산운용,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
수성자산운용,6,16,5,46,0,0,0,0,0,0,0,22,0,0,0,95,0,0,0
수협자산운용,20,0,3,3,0,0,0,0,0,0,0,7,0,0,0,33,0,0,7
슈니크자산운용,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0
슈로더자산운용,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0
스마일게이트자산운용,22,0,0,0,0,2,0,0,12,0,0,2,0,0,0,38,0,0,0
스카이워크자산운용,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,4
스퀘어자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-2
스타갤럭시 자산운용,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
스타로드자산운용,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,7,0,0,1
스타퀘스트자산운용,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,13,0,0,1
스탠버그자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
스틱얼터너티브자산운용,0,0,0,0,0,3,0,0,12,0,10,6,0,0,0,31,0,0,-6
스팍스자산운용,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1
스페이스자산운용,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,8,0,0,0
스피네이커자산운용,1,8,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,4
슬기자산운용,1,8,1,0,0,0,0,0,0,0,0,5,0,0,1,16,0,0,1
시그니처자산운용,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,5,0,0,2
시드인베스트먼트자산운용,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,12,0,0,1
시몬느자산운용,0,0,0,0,0,0,0,1,3,0,3,4,0,0,0,11,0,0,3
신라자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
신영자산운용,42,14,21,5,0,9,2,0,0,0,0,1,0,0,0,94,0,0,5
신한자산운용,195,33,68,221,0,205,13,438,63,0,263,121,1,0,3,1624,0,0,58
써밋자산운용,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1
썬앤트리자산운용,1,3,3,1,1,1,0,4,0,0,1,8,0,0,0,23,0,0,2
